Screaming Circuits SMD component position file.

Centroid Data for pc board: "CoCoFlash_v1.04c.brd" as of: 3/8/2017 9:21 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
3V3,Bottom,0.050,-0.525,90
C1,Bottom,0.250,0.150,270
C2,Bottom,-0.775,0.575,0
C3,Bottom,-0.525,-1.150,180
C4,Bottom,0.725,-0.425,90
C5,Bottom,0.150,-0.675,270
C6,Bottom,-0.075,-0.925,180
C7,Bottom,-0.050,-0.425,180
C8,Bottom,-0.350,-0.675,270
C9,Top,-0.875,-1.125,180
C18,Bottom,0.650,0.150,270
C19,Bottom,0.725,-0.575,270
C20,Bottom,-0.850,-0.050,270
CFG0,Bottom,0.575,-0.875,90
CFG1,Bottom,0.475,-0.875,90
CFG2,Bottom,0.375,-0.875,90
CFG3,Bottom,0.275,-0.875,90
GND,Bottom,0.050,-0.625,0
IC1,Top,0.725,-0.625,270
IC2,Top,-0.700,0.275,90
IC3,Top,-0.100,-0.675,0
IC4,Top,0.325,0.125,0
IC5,Top,0.725,0.125,0
IC6,Top,0.725,-0.375,90
IC8,Top,-0.650,-0.950,0
Q1,Bottom,-0.850,0.100,0
R1,Bottom,-0.475,0.925,270
R2,Bottom,-0.675,-1.150,180
R3,Bottom,0.850,0.825,270
R4,Bottom,-0.850,0.825,270
R5,Bottom,-0.600,0.000,270
R6,Bottom,0.150,0.425,270
R7,Top,0.150,0.425,270
R8,Bottom,0.250,0.425,270
R9,Top,0.250,0.425,270
R10,Bottom,0.350,0.425,270
R11,Top,0.350,0.425,270
R12,Bottom,0.450,0.425,270
R13,Top,0.450,0.425,270
R14,Bottom,0.550,0.425,270
R15,Top,0.550,0.425,270
R16,Bottom,0.650,0.425,270
R17,Top,0.650,0.425,270
R18,Bottom,0.750,0.425,270
R19,Top,0.750,0.425,270
R20,Bottom,0.850,0.425,270
R21,Top,0.850,0.425,270
R22,Bottom,0.150,0.625,270
R23,Top,0.150,0.625,270
R24,Bottom,0.250,0.625,270
R25,Top,0.250,0.625,270
R26,Bottom,0.350,0.625,270
R27,Top,0.350,0.625,270
R28,Bottom,0.450,0.625,270
R29,Top,0.450,0.625,270
R30,Bottom,0.550,0.625,270
R31,Top,0.550,0.625,270
R32,Bottom,0.650,0.625,270
R33,Top,0.650,0.625,270
R34,Bottom,0.750,0.625,270
R35,Top,0.750,0.625,270
R36,Bottom,0.850,0.625,270
R37,Top,0.850,0.625,270
R38,Top,0.525,-0.100,90
R39,Top,0.925,-0.100,90
R40,Top,0.925,-0.425,90
R41,Top,0.650,-0.250,0
R42,Top,0.525,-0.250,0
R43,Bottom,0.425,-0.525,90
R44,Bottom,0.375,-0.525,90
R45,Bottom,0.325,-0.525,90
R46,Bottom,0.275,-0.525,90
R47,Bottom,-0.775,0.200,180
R48,Bottom,-0.800,-0.050,90
TCK,Bottom,0.050,-0.725,0
TDI,Bottom,0.050,-0.925,90
TDO,Bottom,0.050,-0.425,0
TMS,Bottom,0.050,-0.825,90
X1,Top,0.000,-1.475,0
